年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量
2020,台中市,韭菜,9.74,9.74,12532.238,122.064
2020,台南市,韭菜,1.44,1.44,10065.278,14.494
2020,高雄市,韭菜,10.37,10.37,19648.023,203.75
2020,宜蘭縣,韭菜,31.39,31.39,22087.416,693.324
2020,新竹縣,韭菜,8.51,8.51,13602.82,115.76
2020,苗栗縣,韭菜,5.34,5.34,16331.086,87.208
2020,彰化縣,韭菜,506.79,506.79,34446.465,17457.124
2020,南投縣,韭菜,0.85,0.85,20952.941,17.81
2020,雲林縣,韭菜,4.68,4.68,19038.462,89.1
2020,嘉義縣,韭菜,1.45,1.45,10310.345,14.95
2020,屏東縣,韭菜,14.84,14.84,13197.305,195.848
2020,台東縣,韭菜,2.34,2.34,16786.752,39.281
2020,花蓮縣,韭菜,50.92,50.92,15690.966,798.984
2020,澎湖縣,韭菜,0.01,0.01,11000,0.11
2020,基隆市,韭菜,0.49,0.49,9773.469,4.789
2020,新竹市,韭菜,-,-,-,-
2020,嘉義市,韭菜,-,-,-,-
2020,金門縣,韭菜,-,-,-,-
2020,連江縣,韭菜,-,-,-,-
2020,新北市,蒜,18.37,18.37,13402.831,246.21
2020,台北市,蒜,0.83,0.83,9422.892,7.821
2020,桃園市,蒜,3.9,3.9,14480,56.472
2020,台中市,蒜,34.29,34.29,15103.82,517.91
2020,台南市,蒜,0.11,0.11,15500,1.705
2020,高雄市,蒜,0.77,0.77,17725.974,13.649
2020,宜蘭縣,蒜,82,82,21717.341,1780.822
2020,新竹縣,蒜,7.04,7.04,13169.46,92.713
2020,苗栗縣,蒜,5.49,5.49,15931.148,87.462
2020,彰化縣,蒜,37.24,37.24,17180.183,639.79
2020,南投縣,蒜,56.12,56.12,16661.761,935.058
2020,雲林縣,蒜,101.17,101.17,20397.104,2063.575
2020,嘉義縣,蒜,9.24,9.24,16043.29,148.24
2020,屏東縣,蒜,-,-,-,-
2020,台東縣,蒜,1.9,1.9,19105.263,36.3
2020,花蓮縣,蒜,0.55,0.55,14363.636,7.9
2020,澎湖縣,蒜,2.05,2.05,10645.366,21.823
2020,基隆市,蒜,-,-,-,-
2020,新竹市,蒜,0.7,0.7,14932.857,10.453
2020,嘉義市,蒜,-,-,-,-
2020,金門縣,蒜,1.01,1.01,19258.416,19.451
2020,連江縣,蒜,-,-,-,-
2020,新北市,蒜頭,-,-,-,-
2020,台北市,蒜頭,0.91,0.91,6347.253,5.776
2020,桃園市,蒜頭,-,-,-,-
2020,台中市,蒜頭,0.59,0.59,8589.831,5.068
2020,台南市,蒜頭,104.44,104.44,7207.114,752.711
2020,高雄市,蒜頭,0.52,0.52,6478.846,3.369
2020,宜蘭縣,蒜頭,0.9,0.9,6900,6.21
2020,新竹縣,蒜頭,-,-,-,-
2020,苗栗縣,蒜頭,2.92,2.92,6006.164,17.538
2020,彰化縣,蒜頭,107.51,107.51,7733.922,831.474
2020,南投縣,蒜頭,-,-,-,-
2020,雲林縣,蒜頭,4439.28,4439.28,9699.498,43058.787
2020,嘉義縣,蒜頭,28.36,28.36,8840.691,250.722
2020,屏東縣,蒜頭,-,-,-,-
2020,台東縣,蒜頭,1.31,1.31,6954.198,9.11
2020,花蓮縣,蒜頭,0.1,0.1,8000,0.8
2020,澎湖縣,蒜頭,-,-,-,-
2020,基隆市,蒜頭,0.07,0.07,9200,0.644
2020,新竹市,蒜頭,-,-,-,-
2020,嘉義市,蒜頭,0.5,0.5,9000,4.5
2020,金門縣,蒜頭,-,-,-,-
2020,連江縣,蒜頭,-,-,-,-
2020,新北市,荸薺,-,-,-,-
2020,台北市,荸薺,-,-,-,-
2020,桃園市,荸薺,-,-,-,-
2020,台中市,荸薺,-,-,-,-
2020,台南市,荸薺,-,-,-,-
2020,高雄市,荸薺,-,-,-,-
2020,宜蘭縣,荸薺,-,-,-,-
2020,新竹縣,荸薺,-,-,-,-
2020,苗栗縣,荸薺,-,-,-,-
2020,彰化縣,荸薺,3.52,3.52,20363.636,71.68
2020,南投縣,荸薺,-,-,-,-
2020,雲林縣,荸薺,-,-,-,-
2020,嘉義縣,荸薺,2.3,2.3,8578.261,19.73
2020,屏東縣,荸薺,0.3,0.3,12000,3.6
2020,台東縣,荸薺,-,-,-,-
2020,花蓮縣,荸薺,-,-,-,-
2020,澎湖縣,荸薺,-,-,-,-
2020,基隆市,荸薺,-,-,-,-
2020,新竹市,荸薺,-,-,-,-
2020,嘉義市,荸薺,-,-,-,-
2020,金門縣,荸薺,-,-,-,-
2020,連江縣,荸薺,-,-,-,-
2020,新北市,竹筍,3084.49,3018.12,4759.627,14365.126
2020,台北市,竹筍,436.08,436.08,4677.19,2039.629
2020,桃園市,竹筍,862.66,859,6146.446,5279.797
2020,台中市,竹筍,1168.66,1168.57,10170.61,11885.07
2020,台南市,竹筍,3810.33,3806.13,9876.227,37590.205
2020,高雄市,竹筍,1794.4,1794.4,11422.737,20496.96
2020,宜蘭縣,竹筍,234.26,234.1,18445.792,4318.16
2020,新竹縣,竹筍,358.32,357.02,6318.786,2255.933
2020,苗栗縣,竹筍,2620.48,2620.48,5459.617,14306.818
2020,彰化縣,竹筍,300.18,299.78,14795.75,4435.47
2020,南投縣,竹筍,2156.79,2156.79,7858.53,16949.198
2020,雲林縣,竹筍,3772.32,3767.64,15218.167,57336.573
2020,嘉義縣,竹筍,5060.77,4973.07,6894.762,34288.135
2020,屏東縣,竹筍,352.84,351.22,12338.677,4333.59
2020,台東縣,竹筍,222.82,222.82,6275.065,1398.21
2020,花蓮縣,竹筍,734.55,715.92,5796.241,4149.645
2020,澎湖縣,竹筍,-,-,-,-
2020,基隆市,竹筍,140.77,140.77,4552.54,640.861
2020,新竹市,竹筍,13.91,13.91,5935.155,82.558
2020,嘉義市,竹筍,75.38,75.38,9498.647,716.008
2020,金門縣,竹筍,1.53,1.53,3500,5.355
2020,連江縣,竹筍,-,-,-,-
2020,新北市,蘆筍,0.75,0.75,3328,2.496
2020,台北市,蘆筍,-,-,-,-
2020,桃園市,蘆筍,1.06,0.88,2120.455,1.866
2020,台中市,蘆筍,7.95,7.75,6987.484,54.153
2020,台南市,蘆筍,128.97,128.59,6325.406,813.384
2020,高雄市,蘆筍,10.74,10.74,5223.184,56.097
2020,宜蘭縣,蘆筍,0.12,0.12,7125,0.855
2020,新竹縣,蘆筍,0.16,0.16,7437.5,1.19
2020,苗栗縣,蘆筍,1.73,1.73,2496.532,4.319
2020,彰化縣,蘆筍,224.72,224.72,5822.984,1308.541
2020,南投縣,蘆筍,6.09,6.09,2400.657,14.62
2020,雲林縣,蘆筍,39.08,39.08,5622.825,219.74
2020,嘉義縣,蘆筍,102.42,101.92,4081.652,416.002
2020,屏東縣,蘆筍,16.84,15.89,5766.897,91.636
2020,台東縣,蘆筍,5.14,5.14,2748.638,14.128
2020,花蓮縣,蘆筍,2.23,1.93,4186.528,8.08
2020,澎湖縣,蘆筍,0.09,0.09,5000,0.45
2020,基隆市,蘆筍,-,-,-,-
2020,新竹市,蘆筍,0.09,0.09,8000,0.72
2020,嘉義市,蘆筍,1.35,1.35,2800,3.78
2020,金門縣,蘆筍,0.12,0.12,3125,0.375
2020,連江縣,蘆筍,-,-,-,-
2020,新北市,茭白筍,175.33,173.81,6871.78,1194.384
2020,台北市,茭白筍,9.72,9.72,11707.202,113.794
2020,桃園市,茭白筍,54.35,54.35,6109.531,332.053
2020,台中市,茭白筍,24.69,24.69,17945.808,443.082
2020,台南市,茭白筍,0.3,0.3,11950,3.585
2020,高雄市,茭白筍,0.06,0.06,11800,0.708
2020,宜蘭縣,茭白筍,38.31,38.31,16105.273,616.993
2020,新竹縣,茭白筍,20.77,20.77,11769.186,244.446
2020,苗栗縣,茭白筍,3.09,3.09,11664.401,36.043
2020,彰化縣,茭白筍,1.07,1.07,15841.121,16.95
2020,南投縣,茭白筍,1507.64,1507.64,23008.18,34688.053
2020,雲林縣,茭白筍,0.05,0.05,11500,0.575
2020,嘉義縣,茭白筍,2.94,2.94,17000,49.98
2020,屏東縣,茭白筍,0.19,0.19,11921.053,2.265
2020,台東縣,茭白筍,0.3,0.3,16716.667,5.015
2020,花蓮縣,茭白筍,6.74,6.54,8134.709,53.201
2020,澎湖縣,茭白筍,-,-,-,-
2020,基隆市,茭白筍,0.08,0.08,10300,0.824
2020,新竹市,茭白筍,2.73,2.73,12841.026,35.056
2020,嘉義市,茭白筍,0.2,0.2,15500,3.1
2020,金門縣,茭白筍,-,-,-,-
2020,連江縣,茭白筍,-,-,-,-
2020,新北市,其他莖菜類,49.02,24.04,14048.211,337.719
2020,台北市,其他莖菜類,33.29,33.29,8050.135,267.989
2020,桃園市,其他莖菜類,151.28,151.28,14736.092,2229.276
2020,台中市,其他莖菜類,8.98,8.98,13328.174,119.687
2020,台南市,其他莖菜類,593.29,593.07,3169.789,1879.907
2020,高雄市,其他莖菜類,378.4,378.4,26635.061,10078.707
2020,宜蘭縣,其他莖菜類,26.21,26.21,16265.853,426.328
2020,新竹縣,其他莖菜類,10.89,10.89,11305.785,123.12
2020,苗栗縣,其他莖菜類,67,67,16415.09,1099.811
2020,彰化縣,其他莖菜類,178.53,178.53,26647.017,4757.292
2020,南投縣,其他莖菜類,3.4,3.4,20970.588,71.3
2020,雲林縣,其他莖菜類,236.99,236.99,23832.769,5648.128
2020,嘉義縣,其他莖菜類,228.29,228.29,14663.805,3347.6
2020,屏東縣,其他莖菜類,3.58,3.58,13752.793,49.235
2020,台東縣,其他莖菜類,2.73,2.73,18109.89,49.44
2020,花蓮縣,其他莖菜類,38.95,38.75,9838.942,381.259
2020,澎湖縣,其他莖菜類,7.57,7.57,11576.75,87.636
2020,基隆市,其他莖菜類,0.65,0.65,10646.154,6.92
2020,新竹市,其他莖菜類,1.5,1.5,11433.333,17.15
2020,嘉義市,其他莖菜類,4.72,4.72,9100,42.952
2020,金門縣,其他莖菜類,-,-,-,-
2020,連江縣,其他莖菜類,-,-,-,-
2020,新北市,甘藍,89.83,89.83,34608.728,3108.902
2020,台北市,甘藍,32.79,32.79,14329.704,469.871
2020,桃園市,甘藍,84.47,84.47,38321.759,3237.039
2020,台中市,甘藍,573.86,573.86,66536.049,38182.377
2020,台南市,甘藍,423.06,423.06,45572.801,19280.029
2020,高雄市,甘藍,211.47,211.47,39495.29,8352.069
2020,宜蘭縣,甘藍,1302.46,1252.46,74905.807,93816.527
2020,新竹縣,甘藍,199.81,199.81,44172.974,8826.202
2020,苗栗縣,甘藍,131.36,131.36,34899.756,4584.432
2020,彰化縣,甘藍,779.73,778.93,47393.8,36916.453
2020,南投縣,甘藍,1138.97,1138.97,51063,58159.225
2020,雲林縣,甘藍,1831.27,1831.27,48198.579,88264.611
2020,嘉義縣,甘藍,410.6,410.6,51814.467,21275.02
2020,屏東縣,甘藍,296.85,296.85,50263.941,14920.851
2020,台東縣,甘藍,184.39,184.39,28982.336,5344.053
2020,花蓮縣,甘藍,140.43,140.11,25637.835,3592.117
2020,澎湖縣,甘藍,20.68,20.68,15623.308,323.09
2020,基隆市,甘藍,0.68,0.68,10025,6.817
2020,新竹市,甘藍,5.98,5.98,19533.278,116.809
2020,嘉義市,甘藍,5.98,5.98,46711.538,279.335
2020,金門縣,甘藍,1.44,1.44,26354.861,37.951
2020,連江縣,甘藍,-,-,-,-
2020,新北市,大芥菜,49.55,49.55,16390.858,812.167
2020,台北市,大芥菜,37.58,37.58,12899.468,484.762
2020,桃園市,大芥菜,25.81,25.81,22455.405,579.574
2020,台中市,大芥菜,4.33,4.33,15375.289,66.575
2020,台南市,大芥菜,68.6,68.6,47832.187,3281.288
2020,高雄市,大芥菜,9.4,9.4,25098.936,235.93
2020,宜蘭縣,大芥菜,4.42,4.42,21895.475,96.778
2020,新竹縣,大芥菜,40.73,40.73,18743.678,763.43
2020,苗栗縣,大芥菜,18.63,18.63,18833.494,350.868
2020,彰化縣,大芥菜,55.98,55.98,37491.783,2098.79
2020,南投縣,大芥菜,16.25,16.25,18133.108,294.663
2020,雲林縣,大芥菜,395.55,395.55,24965.693,9875.18
2020,嘉義縣,大芥菜,563.61,563.61,23275.976,13118.573
2020,屏東縣,大芥菜,0.55,0.55,12500,6.875
2020,台東縣,大芥菜,1.53,1.53,14983.007,22.924
2020,花蓮縣,大芥菜,37.92,37.92,13805.643,523.51
2020,澎湖縣,大芥菜,1.04,1.04,8628.846,8.974
2020,基隆市,大芥菜,1.12,1.12,10514.286,11.776
2020,新竹市,大芥菜,1.5,1.5,14733.333,22.1
2020,嘉義市,大芥菜,1.51,1.51,23000,34.73
2020,金門縣,大芥菜,0.63,0.63,21620.635,13.621
2020,連江縣,大芥菜,-,-,-,-
2020,新北市,結球白菜,44.77,44.77,34215.613,1531.833
2020,台北市,結球白菜,40.12,40.12,18260.419,732.608
2020,桃園市,結球白菜,26.73,26.73,19690.161,526.318
2020,台中市,結球白菜,32.82,32.82,30326.173,995.305
2020,台南市,結球白菜,18.83,18.83,40100,755.083
2020,高雄市,結球白菜,70.56,70.56,36106.973,2547.708
2020,宜蘭縣,結球白菜,69.72,69.72,70175.703,4892.65
2020,新竹縣,結球白菜,43.08,43.08,38565.599,1661.406
2020,苗栗縣,結球白菜,5.57,5.57,18468.043,102.867
2020,彰化縣,結球白菜,405.19,405.19,43796.35,17745.843
2020,南投縣,結球白菜,36.47,36.47,39081.766,1425.312
2020,雲林縣,結球白菜,752,752,43380.646,32622.246
2020,嘉義縣,結球白菜,44.06,44.06,38039.719,1676.03
2020,屏東縣,結球白菜,50.89,50.89,42802.044,2178.196
2020,台東縣,結球白菜,7.86,7.86,32084.351,252.183
2020,花蓮縣,結球白菜,34.7,34.45,22710.595,782.38
2020,澎湖縣,結球白菜,-,-,-,-
2020,基隆市,結球白菜,0.16,0.16,9800,1.568
2020,新竹市,結球白菜,1,1,12000,12
2020,嘉義市,結球白菜,0.1,0.1,15500,1.55
2020,金門縣,結球白菜,1.97,1.97,27329.949,53.84
2020,連江縣,結球白菜,-,-,-,-
2020,新北市,不結球白菜,260.01,260.01,16476.047,4283.937
2020,台北市,不結球白菜,66.15,66.15,13298.277,879.681
2020,桃園市,不結球白菜,1471.93,1471.93,18270.819,26893.366
2020,台中市,不結球白菜,9.84,9.84,13572.764,133.556
2020,台南市,不結球白菜,127.51,127.51,17429.645,2222.454
2020,高雄市,不結球白菜,288.01,288.01,14928.95,4299.687
2020,宜蘭縣,不結球白菜,1.77,1.77,16596.61,29.376
2020,新竹縣,不結球白菜,17.41,17.41,14706.548,256.041
2020,苗栗縣,不結球白菜,13.56,13.56,23415.855,317.519
2020,彰化縣,不結球白菜,43.03,43.03,18012.782,775.09
2020,南投縣,不結球白菜,0.24,0.24,12587.5,3.021
2020,雲林縣,不結球白菜,2862.83,2862.83,21699.908,62123.148
2020,嘉義縣,不結球白菜,2.1,2.1,15195.238,31.91
2020,屏東縣,不結球白菜,28.66,28.66,12879.902,369.138
2020,台東縣,不結球白菜,1.6,1.6,12328.75,19.726
2020,花蓮縣,不結球白菜,74.1,74.1,11701.822,867.105
2020,澎湖縣,不結球白菜,31.2,31.2,7168.878,223.669
2020,基隆市,不結球白菜,1.48,1.48,9963.514,14.746
2020,新竹市,不結球白菜,1.32,1.32,11180.303,14.758
2020,嘉義市,不結球白菜,-,-,-,-
2020,金門縣,不結球白菜,1.14,1.14,17565.789,20.025
2020,連江縣,不結球白菜,-,-,-,-
2020,新北市,甕菜,84.55,84.55,15905.582,1344.817
2020,台北市,甕菜,44.46,44.46,14992.173,666.552
2020,桃園市,甕菜,294.41,294.41,18161.027,5346.788
2020,台中市,甕菜,139.11,139.11,15570.505,2166.013
2020,台南市,甕菜,51.25,51.25,21729.366,1113.63
2020,高雄市,甕菜,61.75,61.75,14636.113,903.78
2020,宜蘭縣,甕菜,22.49,22.49,19417.119,436.691
2020,新竹縣,甕菜,6.27,6.27,12182.775,76.386
2020,苗栗縣,甕菜,4.63,4.63,15854.428,73.406
2020,彰化縣,甕菜,9.88,9.88,18323.684,181.038
2020,南投縣,甕菜,31.34,31.34,16471.538,516.218
2020,雲林縣,甕菜,1163.99,1163.99,18121.527,21093.276
2020,嘉義縣,甕菜,131.41,131.41,17662.811,2321.07
2020,屏東縣,甕菜,10.59,10.59,15024.268,159.107
2020,台東縣,甕菜,0.89,0.89,15548.315,13.838
2020,花蓮縣,甕菜,13.5,13.5,10150.222,137.028
2020,澎湖縣,甕菜,6.1,6.1,7374.098,44.982
2020,基隆市,甕菜,0.43,0.43,10588.372,4.553
2020,新竹市,甕菜,0.6,0.6,10833.333,6.5
2020,嘉義市,甕菜,-,-,-,-
2020,金門縣,甕菜,0.61,0.61,16998.361,10.369
2020,連江縣,甕菜,-,-,-,-
2020,新北市,芹菜,23.99,23.99,14530.388,348.584
2020,台北市,芹菜,10.21,10.21,12733.692,130.011
2020,桃園市,芹菜,5.05,5.05,20036.04,101.182
2020,台中市,芹菜,0.33,0.33,15254.545,5.034
2020,台南市,芹菜,6.41,6.41,26156.006,167.66
2020,高雄市,芹菜,38.41,38.41,15481.541,594.646
2020,宜蘭縣,芹菜,0.34,0.34,20264.706,6.89
2020,新竹縣,芹菜,8.05,8.05,12818.012,103.185
2020,苗栗縣,芹菜,5.03,5.03,13374.553,67.274
2020,彰化縣,芹菜,159.92,159.92,23519.585,3761.252
2020,南投縣,芹菜,9.05,9.05,9256.133,83.768
2020,雲林縣,芹菜,759.91,759.91,21471.127,16316.124
2020,嘉義縣,芹菜,4.03,4.03,14478.908,58.35
2020,屏東縣,芹菜,13.19,13.19,15369.75,202.727
2020,台東縣,芹菜,0.08,0.08,14000,1.12
2020,花蓮縣,芹菜,0.73,0.73,9868.493,7.204
2020,澎湖縣,芹菜,0.95,0.95,8084.211,7.68
2020,基隆市,芹菜,0.24,0.24,9633.333,2.312
2020,新竹市,芹菜,0.65,0.65,11036.923,7.174
2020,嘉義市,芹菜,-,-,-,-
2020,金門縣,芹菜,1.15,1.15,21244.348,24.431
2020,連江縣,芹菜,-,-,-,-
2020,新北市,其他葉菜類,869.37,869.37,15267.93,13273.48
2020,台北市,其他葉菜類,185.3,185.3,12536.557,2323.024
2020,桃園市,其他葉菜類,3311.58,3311.58,17966.768,59498.391
2020,台中市,其他葉菜類,355.73,355.73,13332.553,4742.789
2020,台南市,其他葉菜類,196.49,196.49,13288.737,2611.104
2020,高雄市,其他葉菜類,723.45,723.44,13546.45,9800.044
2020,宜蘭縣,其他葉菜類,570.01,570.01,15814.505,9014.426
2020,新竹縣,其他葉菜類,296.97,296.97,13360.353,3967.624
2020,苗栗縣,其他葉菜類,324.86,324.06,13061.76,4232.794
2020,彰化縣,其他葉菜類,504.95,504.95,12705.379,6415.581
2020,南投縣,其他葉菜類,364.86,364.86,14196.536,5179.748
2020,雲林縣,其他葉菜類,10249.77,10249.77,18724.186,191918.604
2020,嘉義縣,其他葉菜類,364.67,364.67,12817.769,4674.256
2020,屏東縣,其他葉菜類,560.66,560.28,10395.813,5824.566
2020,台東縣,其他葉菜類,40.59,40.59,5020.769,203.793
2020,花蓮縣,其他葉菜類,691.58,691.58,9522.342,6585.461
2020,澎湖縣,其他葉菜類,11.18,11.18,8818.515,98.591
2020,基隆市,其他葉菜類,7.58,7.58,10473.219,79.387
2020,新竹市,其他葉菜類,12.53,12.53,12168.077,152.466
2020,嘉義市,其他葉菜類,2.53,2.53,24000,60.72
2020,金門縣,其他葉菜類,1.49,1.49,24096.644,35.904
2020,連江縣,其他葉菜類,-,-,-,-
2020,新北市,花椰菜,37.3,37.3,16136.381,601.887
2020,台北市,花椰菜,6.69,6.69,11885.501,79.514
2020,桃園市,花椰菜,9.41,9.41,17180.553,161.669
2020,台中市,花椰菜,8.97,8.97,16577.48,148.7
2020,台南市,花椰菜,24.36,24.36,21009.647,511.795
2020,高雄市,花椰菜,485.7,485.7,25276.473,12276.783
2020,宜蘭縣,花椰菜,10.92,10.92,15572.436,170.051
2020,新竹縣,花椰菜,13.67,13.67,14794.221,202.237
2020,苗栗縣,花椰菜,13.4,13.4,17148.955,229.796
2020,彰化縣,花椰菜,990.91,990.91,27017.748,26772.157
2020,南投縣,花椰菜,2.16,2.16,16992.593,36.704
2020,雲林縣,花椰菜,791.41,791.41,21710.303,17181.751
2020,嘉義縣,花椰菜,767.63,767.63,15337.762,11773.726
2020,屏東縣,花椰菜,7.02,7.02,18975.641,133.209
2020,台東縣,花椰菜,4.8,4.8,21120.833,101.38
2020,花蓮縣,花椰菜,5.41,5.41,11614.603,62.835
2020,澎湖縣,花椰菜,15.24,15.24,10086.549,153.719
2020,基隆市,花椰菜,0.24,0.24,10958.333,2.63
2020,新竹市,花椰菜,3.25,3.25,13615.692,44.251
2020,嘉義市,花椰菜,1.02,1.02,22735.294,23.19
2020,金門縣,花椰菜,1.23,1.23,18969.106,23.332
2020,連江縣,花椰菜,-,-,-,-
2020,新北市,金針菜,8.88,8.88,688.401,6.113
2020,台北市,金針菜,0.75,0.75,724,0.543
2020,桃園市,金針菜,0.42,0.42,428.571,0.18
2020,台中市,金針菜,0.1,0.1,750,0.075
2020,台南市,金針菜,-,-,-,-
2020,高雄市,金針菜,3.01,3.01,630.897,1.899
2020,宜蘭縣,金針菜,0.55,0.55,689.091,0.379
2020,新竹縣,金針菜,1.69,1.69,727.219,1.229
2020,苗栗縣,金針菜,3.61,3.61,834.072,3.011
2020,彰化縣,金針菜,0.78,0.78,689.744,0.538
2020,南投縣,金針菜,24.78,24.78,872.276,21.615
2020,雲林縣,金針菜,2.61,2.61,843.295,2.201
2020,嘉義縣,金針菜,4.18,4.18,578.23,2.417
2020,屏東縣,金針菜,-,-,-,-
2020,台東縣,金針菜,63.77,63.77,928.273,59.196
2020,花蓮縣,金針菜,400.58,352.75,614.965,216.929
2020,澎湖縣,金針菜,-,-,-,-
2020,基隆市,金針菜,0.24,0.24,825,0.198
2020,新竹市,金針菜,-,-,-,-
2020,嘉義市,金針菜,0.4,0.4,660,0.264
2020,金門縣,金針菜,-,-,-,-
2020,連江縣,金針菜,-,-,-,-
2020,新北市,越瓜,-,-,-,-
2020,台北市,越瓜,-,-,-,-
2020,桃園市,越瓜,1.37,1.37,13107.299,17.957
2020,台中市,越瓜,2.8,2.8,12668.929,35.473
2020,台南市,越瓜,1.83,1.83,14098.361,25.8
2020,高雄市,越瓜,3.32,3.32,22746.988,75.52
2020,宜蘭縣,越瓜,0.75,0.75,18920,14.19
2020,新竹縣,越瓜,0.26,0.26,12884.615,3.35
2020,苗栗縣,越瓜,0.52,0.52,17876.923,9.296
2020,彰化縣,越瓜,17.18,17.18,20130.966,345.85
2020,南投縣,越瓜,0.3,0.3,17000,5.1
2020,雲林縣,越瓜,15.07,15.07,19613.537,295.576
2020,嘉義縣,越瓜,78.12,78.12,16312.263,1274.314
2020,屏東縣,越瓜,8.21,8.21,16277.588,133.639
2020,台東縣,越瓜,-,-,-,-
2020,花蓮縣,越瓜,0.15,0.15,13000,1.95
2020,澎湖縣,越瓜,5.09,5.09,4353.045,22.157
2020,基隆市,越瓜,-,-,-,-
2020,新竹市,越瓜,1.6,1.6,15000,24
2020,嘉義市,越瓜,-,-,-,-
2020,金門縣,越瓜,-,-,-,-
2020,連江縣,越瓜,-,-,-,-
2020,新北市,胡瓜,29.16,29.16,13797.394,402.332
2020,台北市,胡瓜,0.35,0.35,11545.714,4.041
2020,桃園市,胡瓜,8.09,8.09,15242.398,123.311
2020,台中市,胡瓜,18.96,18.96,19841.034,376.186
2020,台南市,胡瓜,60.19,60.19,26550.54,1598.077
2020,高雄市,胡瓜,277.06,276.86,26549.241,7350.423
2020,宜蘭縣,胡瓜,9.03,9.03,17066.888,154.114
2020,新竹縣,胡瓜,7.81,7.81,11822.023,92.33
2020,苗栗縣,胡瓜,63.5,62.3,16811.894,1047.381
2020,彰化縣,胡瓜,222.64,222.64,25305.035,5633.913
2020,南投縣,胡瓜,163.38,163.38,29314.573,4789.415
2020,雲林縣,胡瓜,240.56,240.56,26777.012,6441.478
2020,嘉義縣,胡瓜,130.65,130.65,25549.675,3338.065
2020,屏東縣,胡瓜,687.02,687.02,28287.657,19434.186
2020,台東縣,胡瓜,2.73,2.73,15484.615,42.273
2020,花蓮縣,胡瓜,30.68,30.48,14442.454,440.206
2020,澎湖縣,胡瓜,3.59,3.59,7397.493,26.557
2020,基隆市,胡瓜,0.81,0.81,11000,8.91
2020,新竹市,胡瓜,1.2,1.2,10166.667,12.2
2020,嘉義市,胡瓜,0.34,0.34,24000,8.16
2020,金門縣,胡瓜,0.41,0.41,17348.78,7.113
2020,連江縣,胡瓜,-,-,-,-
2020,新北市,冬瓜,68.79,65.83,15954.307,1050.272
2020,台北市,冬瓜,10.62,10.62,13074.67,138.853
2020,桃園市,冬瓜,22.93,22.93,12082.468,277.051
2020,台中市,冬瓜,52.57,52.57,18277.002,960.822
2020,台南市,冬瓜,8.38,8.38,17272.912,144.747
2020,高雄市,冬瓜,38.19,38.19,31620.189,1207.575
2020,宜蘭縣,冬瓜,23.82,23.82,26308.984,626.68
2020,新竹縣,冬瓜,20.11,20.11,13975.385,281.045
2020,苗栗縣,冬瓜,63.67,63.67,24486.383,1559.048
2020,彰化縣,冬瓜,133.01,133.01,29499.684,3923.753
2020,南投縣,冬瓜,13.6,13.6,31911.765,434
2020,雲林縣,冬瓜,18.33,18.33,20619.422,377.954
2020,嘉義縣,冬瓜,17.58,17.58,22348.123,392.88
2020,屏東縣,冬瓜,145.59,145.59,20682.052,3011.1
2020,台東縣,冬瓜,65.61,63.21,20375.463,1287.933
2020,花蓮縣,冬瓜,169.85,169.85,21785.87,3700.33
2020,澎湖縣,冬瓜,1.13,1.13,11599.115,13.107
2020,基隆市,冬瓜,0.09,0.09,10500,0.945
2020,新竹市,冬瓜,1.55,1.55,12298.71,19.063
2020,嘉義市,冬瓜,-,-,-,-
2020,金門縣,冬瓜,0.28,0.28,21310.714,5.967
2020,連江縣,冬瓜,-,-,-,-
2020,新北市,苦瓜,15.33,15.33,12522.57,191.971
2020,台北市,苦瓜,0.3,0.3,8610,2.583
2020,桃園市,苦瓜,1.58,1.58,12036.709,19.018
2020,台中市,苦瓜,116.29,116.29,18364.184,2135.571
2020,台南市,苦瓜,30.81,30.81,19568.29,602.899
2020,高雄市,苦瓜,173.78,171.88,25536.956,4389.292
2020,宜蘭縣,苦瓜,3.27,3.27,19458.104,63.628
2020,新竹縣,苦瓜,8.5,8.5,12027.176,102.231
2020,苗栗縣,苦瓜,34.31,34.31,14536.607,498.751
2020,彰化縣,苦瓜,182.8,182.8,23048.435,4213.254
2020,南投縣,苦瓜,133.02,133.02,16623.365,2211.24
2020,雲林縣,苦瓜,27.34,27.34,17221.617,470.839
2020,嘉義縣,苦瓜,107.76,107.76,22772.346,2453.948
2020,屏東縣,苦瓜,613.56,613.16,19968.706,12244.012
2020,台東縣,苦瓜,4.26,4.26,25165.023,107.203
2020,花蓮縣,苦瓜,29.03,28.78,10945.969,315.025
2020,澎湖縣,苦瓜,1.42,1.42,6000,8.52
2020,基隆市,苦瓜,0.57,0.57,9526.316,5.43
2020,新竹市,苦瓜,0.2,0.2,4800,0.96
2020,嘉義市,苦瓜,1.6,1.6,18237.5,29.18
2020,金門縣,苦瓜,0.36,0.36,20861.111,7.51
2020,連江縣,苦瓜,-,-,-,-
2020,新北市,茄子,29.07,29.07,12176.849,353.981
2020,台北市,茄子,4.28,4.28,8744.159,37.425
2020,桃園市,茄子,3.95,3.95,11089.62,43.804
2020,台中市,茄子,4.34,4.34,11513.594,49.969
2020,台南市,茄子,8.33,8.33,20789.796,173.179
2020,高雄市,茄子,70.71,70.41,26165.616,1842.321
2020,宜蘭縣,茄子,3.37,3.37,21542.433,72.598
2020,新竹縣,茄子,7.53,7.53,11260.292,84.79
